serie1,serie2
1.26,0.785714286
23.03,0.042987408
2.41,0.410788382
16.78,0.058998808
3.16,0.313291139
1.63,0.607361963
1.89,0.523809524
1.63,0.607361963
3,0.33
1.08,0.916666667
1.28,0.7734375
1.69,0.585798817
2.27,0.436123348
1.34,0.73880597
6.05,0.163636364
16.6,0.059638554
4.05,0.244444444
1.3,0.761538462
1.04,0.951923077
2.85,0.347368421
1.43,0.692307692
1.23,0.804878049
27.92,0.035458453
1.23,0.804878049
2.04,0.485294118
4.78,0.207112971
1.63,0.607361963
1.08,0.916666667
1.04,0.951923077
1.5,0.66
67.87,0.01458671
1.47,0.673469388
1.02,0.970588235
105.09,0.009420497
1.02,0.970588235
13.43,0.073715562
3.35,0.295522388
1.67,0.592814371
1.21,0.818181818
24.53,0.040358744
18.1,0.054696133
1.73,0.572254335
3.14,0.315286624
2.39,0.414225941
1.93,0.512953368
1.34,0.73880597
2.18,0.45412844
3.06,0.323529412
13.33,0.074268567
2.41,0.410788382
1.71,0.578947368
1.28,0.7734375
1.69,0.585798817
1.5,0.66
1.21,0.818181818
2.35,0.421276596
1.23,0.804878049
1.36,0.727941176
1.41,0.70212766
1.34,0.73880597
5.13,0.192982456
1.26,0.785714286
14.16,0.069915254
3.97,0.249370277
1.04,0.951923077
1.19,0.831932773
4.5,0.22
5.36,0.184701493
4.16,0.237980769
1.06,0.933962264
3.83,0.25848564
3.85,0.257142857
1.37,0.722627737
1.47,0.673469388
1.28,0.7734375
1.3,0.761538462
3.2,0.309375
1.19,0.831932773
1.36,0.727941176
1.1,0.9
4.44,0.222972973
2.77,0.357400722
1.78,0.556179775
2.77,0.357400722
4.83,0.204968944
1.69,0.585798817
1.56,0.634615385
7.08,0.139830508
16.21,0.061073411
1.56,0.634615385
1.17,0.846153846
1.54,0.642857143
2.31,0.428571429
5.28,0.1875
1.97,0.502538071
1,0.99
1.28,0.7734375
2.6,0.380769231
2.04,0.485294118
1.8,0.55
1.45,0.682758621
25.92,0.038194444
1.52,0.651315789
1.1,0.9
2.89,0.342560554
8.43,0.117437722
2.31,0.428571429
1.28,0.7734375
2.75,0.36
2.39,0.414225941
1.32,0.75
2.25,0.44
1.36,0.727941176
1.93,0.512953368
5.7,0.173684211
3.56,0.278089888
11.33,0.087378641
1,0.99
3.47,0.285302594
1.6,0.61875
3.22,0.307453416
1.15,0.860869565
3.1,0.319354839
1.23,0.804878049
5.66,0.174911661
3.27,0.302752294
13.59,0.072847682
2,0.495
2.18,0.45412844
1.63,0.607361963
32.7,0.030275229
3.1,0.319354839
7.28,0.135989011
3.02,0.32781457
1.3,0.761538462
1.56,0.634615385
1.02,0.970588235
1.17,0.846153846
1.78,0.556179775
1.62,0.611111111
5.2,0.190384615
1.08,0.916666667
3.1,0.319354839
